organization_name,process_count,service_count,online_process_count,online_service_count
"Geothermal Development Company (Energy Act, No. 1 of 2019) (Companies Act, Cap. 486)",0,40,0,0
"Alupe University (Universities Act, No. 42 of 2012)",1,20,1,13
"Kenya Marine and Fisheries Research Institute (Science, Technology and Innovation Act, No. 28 of 2012)",0,18,0,0
"Kenya Post Office Savings Bank 14 (Kenya Post Office Savings Bank Act, Cap. 483B)",0,16,0,3
"Commission for University Education",0,14,0,12
"Tea Board of Kenya (Tea Act, No. 3 of 2020)",0,13,0,13
"Kenya Law Reform Commission (The Kenya Law Reform Commission Act, No. 19 of 2013)",0,11,0,11
"Kenya Copyright Board (Copyright Act, 2001)",11,11,11,4
"National Cereals and Produce Board (National Cereals and Produce Board Act, Cap. 338)",5,10,1,0
"Kenya Medical Research Institute(KEMRI)(State Corporations Act, Cap. 446 The Kenya Medical Research Institute Order, 2021- Legal Notice No. 35 of 2021)",0,9,0,5
"Kenya Broadcasting Corporation (Kenya Broadcasting Act, Cap. 221)",9,8,2,0
"Kenya Water Institute",4,7,0,0
"National Crime Research Centre (National Crime Research Act, Cap. 62)",1,6,1,5
"Universities Funding Board",0,6,0,0
"Agricultural Development Corporation (Agricultural Development Corporation Act, Cap. 444)",1,6,0,0
"Kenya Film Classification Board (Kenya Film Classification Act, Cap. 222)",3,6,3,0
"Retirement Benefits Authority(Retirement Benefits Act, No. 3 of 1997)",0,5,0,5
"Kenyatta International Convention Centre Centre",14,5,7,2
"Kenya Institute of Curriculum Development (Kenya Institute of Curriculum Development Act, No. 4 of 2013)",0,5,0,2
"The Kenya Cultural Centre",0,5,0,5
"Kenya Forest Service (Forest Conservation and Management Act, No. 34 of 2016)",4,5,0,4
"National Industrial Training Authority (Industrial Training Act, Cap. 237)",0,4,0,1
"UNIVERSITY OF NAIROBI ENTERPRISES AND SERVICES LTD",2,3,2,3
"National Government Constituency Development Fund (National Government Constituency Development Fund Board, Act No. 30 of 2015)",0,3,0,3
"Kenya Universities and Colleges Placement Service (Universities Act, No. 42 of 2012",2,3,2,3
"Coast Water Works Development Agency (Water Act, 2016)",0,3,0,0
"Office of the Data Protection Commissioner (Data Protection Act, 2019)",0,3,0,3
"Konza Technopolis Development Authority (Konza Technopolis Development Order, 2012)",2,3,1,1
"Kenya National Innovation Agency (Science, Technology and Innovation Act, No. 28 of 2013)",0,2,0,2
"Kenya National Highways Authority (Kenya Roads Act, 2007)",13,2,13,2
"Kenya School of Government (Kenya School of Government Act, No. 9 of 2012)",17,2,17,1
"Local Authorities Provident Fund (Local Authorities Provident Fund, Cap. 272)",2,2,2,2
"State Department for Water and Sanitation",3,2,1,1
"Kenya Institute of Supplies Management (Supplies Practitioners Management Act, No. 17 of 2007)",0,2,0,2
"Water Sector Trust Fund (Water Act, 2016)",4,1,1,1
"University of Kabianga (Universities Act, No. 42 of 2012)",1,1,0,0
"Media Council of Kenya (Media Council, No. 46 of 2013)",3,1,0,1
"Kenya National Qualifications Authority",2,1,2,1
"Nyayo Tea Zones Development Corporation (State Corporations Act, Cap. 446 through Nyayo Tea Zone Order)",4,1,0,0
"Policy Holders Compensation Fund (Insurance Act, Cap. 487, Policy Holders Compensation Regulations 2010)",0,1,0,0
"Jaramogi Oginga Odinga University of Science and Technology (Universities Act, No. 42 of 2012)",1,1,0,0
"National Housing Corporation (Housing Act, Cap 117)",0,1,0,1
"Kenya ICT Authority (Legal Notice No. 183 of 2013)",0,1,0,0
"National Commission for Science Technology and Innovation (Science, Technology and Innovation Act, No. 28 of 2013)",2,1,1,0
"Kenya Literature Bureau (Kenya Literature Bureau Act, Cap. 209)",0,1,0,0
"Kenya Veterinary Vaccine Production Institute (State Corporations Act, Cap. 446 through Gazette Notice No. 223 of 4th June, 1990)",0,1,0,0
"The Tourism Fund (Tourism Act, No. 28 of 2011",0,1,0,0
"Kenya Anti-Doping Agency Sports Kenya (Sports Act, No. 25 of 2013)",0,0,0,0
"Kenya Development Corporation (KDC)",0,0,0,0
"University of Embu (Universities Act, No. 42 of 2012)",0,0,0,0
"Co -operative University of Kenya (Universities Act, No. 42 of 2012)",0,0,0,0
"Nuclear Power and Energy Agency",0,0,0,0
MICDE,0,0,0,0
"Lake Victoria North Water Works Development Agency (Water Act, 2016)",0,0,0,0
"National Council for Law Reporting (The National Council for Law Reporting Act, No. 11 of 1994)",0,0,0,0
"Anti-Counterfeit Authority (Anti-Counterfeit Act, No. 13 of 2008)",0,0,0,0
"National Biosafety Authority (Biosafety Act, No. 2 of 2009)",0,0,0,0
"Moi University (Universities Act, No. 42 of 2012)",0,0,0,0
"Kenya National Qualifications Authority",0,0,0,0
"Murang'a University of Technology",0,0,0,0
"Kenya Institute of Supplies Examination Board",0,0,0,0
"Nairobi International Financial Centre (Nairobi International Financial Centre Act, No. 25 of 2017)",0,0,0,0
"The Nairobi Metropolitan Area Transport Authority (The Nairobi Metropolitan Area Transport Authority Order, 2016)",0,0,0,0
"Nairobi Centre for International Arbitration (The Nairobi Centre for International Arbitration Act, No. 26 of 2013)",0,0,0,0
"Kenya BioVax Institute Limited",3,0,1,0
"State Department for Correctional Services",1,0,1,0
"Betting Control and Licensing Board (Betting, Lotteries and Gaming Act, Cap. 131)",0,0,0,0
